"UNIQUEID","wgs_xF","wgs_yF","PERS106","exp5nrm","exp3nrm","rough_1k","prad_sw_di","etpt_5","mind_yr_av","prec_winte","tave_sprin"
"Z0402030200584161",-111.502923,36.460976,1,46,0,8.960045815,-5865,95,-1638.583333,15.66666667,98.66666667
"Z0402030200585255",-112.389937,36.138507,1,75,-19,10.90434074,-5835,94,-1516.25,26.33333333,82.33333333
"Z0402030200587247",-111.056402,36.507157,1,20,16,12.07275486,-5914,94,-1608.916667,17.66666667,93.33333333
"Z0402030200587787",-112.261277,35.057334,1,-14,-28,55.95107651,-5588,95,-1635.166667,38.33333333,93.66666667
"Z0402030200590259",-111.109514,34.703795,1,-4,-1,5.532447815,-5745,93,-1389.916667,39.66666667,76.66666667
"Z0402030200590393",-112.824013,35.681914,1,-10,8,7.826263905,-5818,93,-1573.25,27.66666667,82
"Z0402030200591412",-111.766719,34.881937,1,-138,-108,16.40460587,-5607,97,-1734.083333,47.66666667,133
"Z0402030200592145",-111.711723,34.882191,1,-115,-119,85.36573792,-5767,94,-1468.083333,63,105
"Z0402030200790136",-110.03016,33.662888,1,-24,-31,12.9967947,-5574,95,-1622.916667,44.66666667,102
"Z0402030200791123",-110.459316,33.981076,1,-53,-46,26.08132362,-5666,96,-1674.75,43.66666667,115.6666667
"Z0402030201581760",-112.954593,36.491209,1,6,7,10.55021191,-5891,95,-1654.166667,29,98.66666667
"Z0402030201584015",-113.681072,36.522065,1,-80,-43,67.63285065,-5839,96,-1825.333333,24.33333333,129.6666667
"Z0402030201587041",-113.289208,36.485256,1,77,8,8.313090324,-5860,94,-1579.25,31,84
"Z0402030201588888",-113.708278,35.692316,1,23,-9,15.86945152,-5734,96,-1822.25,24.66666667,110
"Z0402030201780323",-109.859649,34.292908,1,-2,11,16.36878967,-5657,93,-1445.333333,36.66666667,80.66666667
"Z0402030201781282",-110.058062,35.96251,1,85,106,47.65097427,-5695,94,-1565.416667,21.33333333,80
"Z0402030201782631",-110.143913,34.132607,1,5,45,24.25396729,-5586,93,-1468.833333,41.66666667,81.33333333
"Z0402030201783066",-110.33236,36.280023,1,50,56,24.30441666,-5931,93,-1496.083333,21.66666667,77.66666667
"Z0402030201785785",-110.607513,36.957237,1,52,-9,21.93161011,-5983,94,-1529.25,22.33333333,88
"Z0402030201787820",-110.01895,36.430996,1,-17,-67,46.93761444,-5869,93,-1449.583333,22.33333333,74.33333333
"Z0402030201788210",-109.965624,34.519007,1,11,16,6.855831623,-5735,95,-1650.583333,20.33333333,98.33333333
"Z0402030201788516",-110.610991,36.281155,1,52,42,10.09722424,-5904,94,-1617.916667,17.33333333,94.33333333
"Z0402030201789987",-110.32992,36.595412,1,-16,-10,39.68987274,-5813,94,-1521.083333,22,80
"Z0402030201790599",-110.107098,36.548434,1,-41,-18,17.8107338,-5941,95,-1637.75,13.66666667,101.6666667
"Z0402030201790731",-110.612522,35.965546,1,25,22,20.63920784,-5795,95,-1663.083333,17.66666667,97.33333333
